feature,target,horizon,n_train,n_test,beta,beta_tstat,r2_train,r2_oos,corr_oos
ofi_l1,fret_mid_10,10,184459,79055,0.0022509565381845557,6.971963740217756,0.006078768063793927,0.009925283840547805,0.10142826754499516
ofi_5lvl,fret_mid_10,10,184459,79055,0.0011573538396655399,7.552371378658843,0.0016069918249672632,0.005410385240536053,0.08449106121373877
qimb,fret_mid_10,10,184466,79057,0.0019014674972811251,12.46562611634176,0.0043377563141689945,0.00954236002101172,0.1023366971297346
trade_imb,fret_mid_10,10,184459,79055,0.0038973732307853674,18.67584222836338,0.01822322970659751,0.02558740581993013,0.16074502826296033
ofi_l1,fret_microprice_10,10,184459,79055,-4.121334120143677e-05,-0.12843073735648283,5.15330278894055e-07,-7.898540132322829e-05,-0.018077020825575593
ofi_5lvl,fret_microprice_10,10,184459,79055,0.002950502981667589,9.536992312894952,0.002641205099422006,0.0046272097560209335,0.06839393232097726
qimb,fret_microprice_10,10,184466,79057,-0.021210494187311302,-72.1589307420903,0.1364914169703182,0.096181756051961,0.3371278559091962
trade_imb,fret_microprice_10,10,184459,79055,0.004504366236353964,15.304479670423643,0.006155699349192356,0.010736178080028913,0.10416506559298744
ofi_l1,fret_mid_50,50,184403,79031,0.009822939512656568,8.935926040459634,0.023866802726808634,0.03340914627203895,0.18844383671434445
ofi_5lvl,fret_mid_50,50,184403,79031,0.00808442078631289,10.106232582821884,0.016166243797793856,0.040841114302768156,0.21067762593423714
qimb,fret_mid_50,50,184438,79045,0.0018688775769628947,2.97172158563741,0.0008638265118120492,0.003066738951913006,0.07401611134479474
trade_imb,fret_mid_50,50,184403,79031,0.009513494645401997,12.479212262972766,0.022386771167912545,0.03433544009829381,0.18532479170175684
ofi_l1,fret_microprice_50,50,184403,79031,0.007471664581880733,6.02444916156391,0.006837121993167106,0.010626380383646161,0.10747209781822546
ofi_5lvl,fret_microprice_50,50,184403,79031,0.010571091905907866,10.823434405141313,0.013686055336790792,0.02581257206639842,0.1613593007783033
qimb,fret_microprice_50,50,184438,79045,-0.03582231765864897,-44.72599544644078,0.15714603902408886,0.079570331162786,0.3179420098227681
trade_imb,fret_microprice_50,50,184403,79031,0.010279673140319615,11.367244304332115,0.012941875149903637,0.02002276928586255,0.1421480127394138
ofi_l1,fret_mid_100,100,184333,79001,0.00882021240332273,5.111322255731283,0.009057970419156236,0.021981091801478336,0.15389888952747868
ofi_5lvl,fret_mid_100,100,184333,79001,0.00882192390657601,5.429787074269981,0.009061486037427846,0.0211272033676575,0.15208546672017256
qimb,fret_mid_100,100,184403,79030,0.0009892175053477636,0.847188219523866,0.00011384980496498276,8.951089412523316e-05,0.055219249618236585
trade_imb,fret_mid_100,100,184333,79001,0.008941665915018236,5.366640740834188,0.009309142739509446,0.02515632848434457,0.16727496637540448
ofi_l1,fret_microprice_100,100,184333,79001,0.007052985567336152,4.087619761207217,0.003750455693945054,0.010086600257423584,0.10510575287570474
ofi_5lvl,fret_microprice_100,100,184333,79001,0.011291547686001569,6.440245647291097,0.009612691283181873,0.015960054723192174,0.128236947778152
qimb,fret_microprice_100,100,184403,79030,-0.041186775262735675,-31.601656892979484,0.1278099975897662,0.04848938530197833,0.2585248420112544
trade_imb,fret_microprice_100,100,184333,79001,0.009826224284299431,5.428068754400102,0.007279665004836233,0.019395947454302287,0.14364270598288853
