feature,target,horizon,n_train,n_test,beta,beta_tstat,r2_train,r2_oos,corr_oos
ofi_l1,fret_mid_5,5,184466,79058,0.0007060862221257189,5.3913552178682185,0.0010661422605309223,0.0030763607669325177,0.05663458545920897
ofi_5lvl,fret_mid_5,5,184466,79058,-2.233302067624198e-05,-0.276413023568165,1.0665829088818413e-06,-0.00013020382548600828,-0.032769325593897274
qimb,fret_mid_5,5,184469,79059,0.001375599083657907,16.110256115750584,0.004046541229253964,0.007693326452372418,0.08981812287644865
trade_imb,fret_mid_5,5,184466,79058,0.002443808895637178,17.527476593156937,0.01277127236380815,0.015123816631226639,0.12526106218814528
ofi_l1,fret_mid_10,10,184459,79055,0.0022509565381845557,6.971963740217756,0.006078768063793927,0.009925283840547805,0.10142826754499516
ofi_5lvl,fret_mid_10,10,184459,79055,0.0011573538396655399,7.552371378658843,0.0016069918249672632,0.005410385240536053,0.08449106121373877
qimb,fret_mid_10,10,184466,79057,0.0019014674972811251,12.46562611634176,0.0043377563141689945,0.00954236002101172,0.1023366971297346
trade_imb,fret_mid_10,10,184459,79055,0.0038973732307853674,18.67584222836338,0.01822322970659751,0.02558740581993013,0.16074502826296033
ofi_l1,fret_mid_20,20,184445,79049,0.004896040470845455,8.341080455159604,0.015204973233334473,0.024923243868983036,0.1607514214518653
ofi_5lvl,fret_mid_20,20,184445,79049,0.003806524729916072,11.900299395043984,0.009190792752747146,0.023189015849329087,0.16049435923300948
qimb,fret_mid_20,20,184459,79054,0.0022163247783550007,7.957904527466226,0.0031145572010132794,0.007924136793601266,0.09719501694278139
trade_imb,fret_mid_20,20,184445,79049,0.005803335491035013,14.62491989915853,0.021362447951863373,0.04031664139960722,0.20114650984101087
ofi_l1,fret_mid_50,50,184403,79031,0.009822939512656568,8.935926040459634,0.023866802726808634,0.03340914627203895,0.18844383671434445
ofi_5lvl,fret_mid_50,50,184403,79031,0.00808442078631289,10.106232582821884,0.016166243797793856,0.040841114302768156,0.21067762593423714
qimb,fret_mid_50,50,184438,79045,0.0018688775769628947,2.97172158563741,0.0008638265118120492,0.003066738951913006,0.07401611134479474
trade_imb,fret_mid_50,50,184403,79031,0.009513494645401997,12.479212262972766,0.022386771167912545,0.03433544009829381,0.18532479170175684
ofi_l1,fret_mid_100,100,184333,79001,0.00882021240332273,5.111322255731283,0.009057970419156236,0.021981091801478336,0.15389888952747868
ofi_5lvl,fret_mid_100,100,184333,79001,0.00882192390657601,5.429787074269981,0.009061486037427846,0.0211272033676575,0.15208546672017256
qimb,fret_mid_100,100,184403,79030,0.0009892175053477636,0.847188219523866,0.00011384980496498276,8.951089412523316e-05,0.055219249618236585
trade_imb,fret_mid_100,100,184333,79001,0.008941665915018236,5.366640740834188,0.009309142739509446,0.02515632848434457,0.16727496637540448
ofi_l1,fret_mid_200,200,184193,78941,0.00020712492633692564,0.05644702101799265,2.392380405447092e-06,-0.0016178451400199467,0.07631543972288309
ofi_5lvl,fret_mid_200,200,184193,78941,0.0007927299973788715,0.23640529638158464,3.504419495170552e-05,-0.0012324019928513508,0.0484027685050558
qimb,fret_mid_200,200,184333,79000,-0.000922460011925099,-0.4447149320516462,4.74400297263422e-05,-0.002429647463639606,-0.036190336616729386
trade_imb,fret_mid_200,200,184193,78941,0.00023283150508861714,0.06912243048983328,3.0230755018179067e-06,-0.0018278896618033613,0.01596864170913824
ofi_l1,fret_mid_500,500,183773,78761,0.01051622153673863,1.4451847861906715,0.0025485738036776784,-0.006832997658620554,0.018455871544707254
ofi_5lvl,fret_mid_500,500,183773,78761,0.005106344958611273,0.7153865148097224,0.0006008942693102037,-0.0083960631156752,-0.047611902728291126
qimb,fret_mid_500,500,184123,78910,-0.000896652707893899,-0.22970122526834705,1.8524558236920896e-05,-0.004932892843037884,-0.004332710113923189
trade_imb,fret_mid_500,500,183773,78761,-0.007276903106539476,-0.9961378940828401,0.0012203121808642692,-0.0041953848083113865,0.04461126438256273
